symbol,total_trades,grid_trades,trend_trades,grid_pnl,trend_pnl,grid_return,trend_return,total_return,total_pnl,win_rate,grid_win_rate,trend_win_rate,max_drawdown,sharpe,profit_factor,init_balance,final_equity,final_balance
SOL,2496,2115,381,105.41605689525156,70617.02555221974,1.0541605689525158,706.1702555221974,340.7290323374699,70722.44160911499,61.73878205128205,61.74940898345154,61.679790026246714,4.10568194809741,4.320667335727172,0.8235653441347472,20000,88145.80646749398,88145.80646749398
ICP,3226,2713,513,2326.558699245906,68515.8920645205,23.26558699245906,685.1589206452051,327.26113634426554,70842.4507637664,63.4221946683199,64.9834131957243,55.165692007797276,5.913550286573074,3.1546704087042867,0.8465007194762639,20000,85452.22726885311,85452.22726885311
AVAX,2536,2129,407,456.19239127287545,54320.30967357989,4.561923912728755,543.2030967357989,260.8853314448893,54776.502064852764,62.5,63.550962893377175,57.00245700245701,4.151655179220697,4.288838916965863,0.847601734153152,20000,72177.06628897786,72177.06628897786
DOT,2108,1625,483,1144.4516781312195,49926.77834589671,11.444516781312196,499.2677834589671,238.08997454336313,51071.23002402793,61.95445920303605,63.815384615384616,55.6935817805383,3.666592690804265,4.184165257117437,0.8935545788206015,20000,67617.99490867263,67617.99490867263
AAVE,2631,2250,381,90.91351278396435,39697.78567692126,0.9091351278396436,396.9778567692126,191.03902813108425,39788.69918970522,61.95362979855569,63.022222222222226,55.643044619422575,4.4398663187984475,3.7295549332826328,0.815849489651014,20000,58207.80562621685,58207.80562621685
ADA,2599,2172,427,18065.692996509042,39949.754672468895,180.65692996509043,399.49754672468896,189.60274125970375,58015.44766897794,63.639861485186614,65.00920810313076,56.674473067915685,5.468006393261382,2.588723992898648,0.8264302793047379,20000,57920.54825194075,57920.54825194075
LINK,2282,1833,449,955.0398623819632,34847.03482261571,9.550398623819632,348.47034822615706,165.21498500564513,35802.07468499767,62.050832602979845,64.32078559738135,52.78396436525612,6.143619937531606,3.3100132699077625,0.8731637632331809,20000,53042.99700112903,53042.99700112903
BCH,2581,2232,349,47.038136239327216,31945.44738892387,0.47038136239327216,319.45447388923867,153.1287329251326,31992.485525163196,62.72762495156916,63.70967741935484,56.446991404011456,3.464775637306708,3.197609055740519,0.7888385877349825,20000,50625.74658502652,50625.74658502652
LTC,2327,1918,409,110.94913434194957,30359.886623632392,1.1094913434194957,303.5988662363239,143.5117620064824,30470.835757974342,61.839278040395364,63.347236704900936,54.76772616136919,6.024462812648867,2.753932911505023,0.8320702139425649,20000,48702.352401296484,48702.352401296484
SUI,2105,1892,213,7688.98844166151,27029.65313272342,76.88988441661509,270.29653132723416,131.5604358136469,34718.64157438493,63.42042755344418,64.05919661733616,57.74647887323944,6.897246596253778,3.318066255129172,0.7960376585525805,20000,46312.08716272938,46312.08716272938
UNI,2401,2060,341,1121.058950460113,26715.311749407403,11.21058950460113,267.153117494074,127.02820435086952,27836.370699867515,61.93252811328613,63.10679611650486,54.83870967741935,5.610750671484036,3.0309849970919185,0.8120955466072786,20000,45405.640870173906,45405.640870173906
ETH,1434,1069,365,2.373427086606037,24848.95896104567,0.02373427086606037,248.48958961045673,118.64919474439142,24851.332388132276,62.69177126917713,64.07857811038353,58.63013698630137,3.243761439534759,4.0495988112222445,0.872728646912223,20000,43729.838948878285,43729.838948878285
BTC,1146,700,446,0.1199094556224877,23725.838195603817,0.001199094556224877,237.2583819560382,111.15153519207357,23725.95810505944,62.129144851657934,65.57142857142857,56.72645739910314,2.3410353409276574,3.9561502972878824,0.9883695961037062,20000,42230.307038414714,42230.307038414714
BNB,1779,1217,562,23.887034406510978,23129.825553792252,0.2388703440651098,231.2982555379225,106.6089993681668,23153.712588198763,61.04553119730185,65.32456861133936,51.779359430604984,3.657558519180615,3.1224624547080078,0.9438452163918443,20000,41321.79987363336,41321.79987363336
XRP,1842,1609,233,8250.219724678853,17045.525595365525,82.50219724678854,170.45525595365524,81.96577337718361,25295.745320044378,62.920738327904445,63.57986326911125,58.36909871244635,5.465263660223954,1.7419849186724694,0.7911696220786623,20000,36393.15467543672,36393.15467543672
