symbol,2022_total_return,2022_grid_return,2022_trend_return,2023_total_return,2023_grid_return,2023_trend_return,2024_total_return,2024_grid_return,2024_trend_return,avg_return
AAVE,28.14858121612593,0.2521948973458297,57.5118068976665,23.738797348735133,0.3804376084037518,50.41194209252716,52.633763772665446,0.2138132090701145,109.18374506482756,34.840380779175504
ADA,44.48821964055343,63.762247112628536,92.35990972905492,22.145834808107647,58.98382762916003,51.78935926713615,27.797630530543422,49.2367971080017,60.911245022589725,31.4772283264015
AVAX,41.38928712507765,0.6065143275533965,84.61192929482104,20.439902296338243,3.264789856231238,43.245838363645504,47.57626835511781,0.5424580824042414,99.54738154355836,36.46848592551123
BCH,41.96181040664022,0.3040475186566956,86.6122537837616,12.697792674955908,0.1288598600025694,27.09938410330813,35.26078281565497,0.0375322844784949,73.32217928613589,29.973461965750364
BNB,28.671457216769745,0.0503455731872348,61.17885487657057,10.573810613176466,0.1284254331010675,23.72081319421477,29.40414692453387,0.0479549854517112,63.701007417665224,22.883138251493364
BTC,14.707773009761876,9.029070654802452e-05,31.182464896324063,23.316514304510257,0.0007398452792522,49.317353391980696,30.43170530021429,0.000251567939623,65.61331292951562,22.818664204828806
DOT,36.72880886554676,2.025149862085688,74.90776429180782,22.718334255845875,5.493461005304836,49.531831056668416,51.28352793920842,2.0250369934788215,108.23959855451356,36.91022368686702
ETH,18.139687625941697,0.0125091480386545,38.22484916190817,16.03331623792206,0.0053217205110315,34.4544963408351,39.78395819553683,0.0024087184481536,82.68025610671103,24.65232068646686
ICP,47.233593450876235,6.9013189747258545,99.06085588891328,54.48046608960332,10.101962183043607,113.55525055565576,33.95091155936914,5.717556929847283,71.6395373641867,45.221657033282895
LINK,20.324625868186885,2.510380229769935,41.982365860532454,24.343665023358007,5.797474811281092,51.49632321855881,41.79397262690185,1.937478658043519,88.43863802835259,28.820754506148916
LTC,38.25789674309553,0.756685409632474,79.86480465970546,18.355946884768674,0.3378252481355347,38.679491916812275,25.966393771659384,0.0126594669874634,55.97768460922515,27.526745799841194
SOL,35.04675870108909,0.3316976866881865,71.85898140478574,56.741529804257205,1.6985420258738004,116.82467368012222,46.21479716278336,0.1517471288019657,96.70252159917912,46.00102855604322
SUI,,,,27.285786881680774,37.53731037603637,58.16606055649641,59.0531963293088,40.33435502636153,121.35438390102986,43.169491605494784
UNI,29.241371704719715,5.23386285400865,59.88672060920498,22.069424522113476,4.147815587570942,47.568558795584615,20.300752879839436,1.2297768097828774,43.38456672392106,23.870516368890875
XRP,8.458083542450805,22.96893352071412,17.500518195838126,14.95665446241388,40.9585496525745,34.09939193556528,31.19159850702085,23.07602366062939,64.88536344939759,18.20211217062851
