symbol,return_with_grid,return_no_grid,return_diff,return_improvement_pct,max_dd_with_grid,max_dd_no_grid,trades_with_grid,trades_no_grid,grid_trades,win_rate_with_grid,win_rate_no_grid,profit_factor_with_grid,profit_factor_no_grid,sharpe_with_grid,sharpe_no_grid
AAVE,39.06838838527083,37.4800517598927,1.5883366253781261,4.237818654983291,5.2022321943104295,5.151215664032489,152,127,25,44.73684210526316,51.181102362204726,2.2645787632586987,1.8656827406444778,2.418055097182172,2.3036457768294722
AVAX,87.84047998407944,88.2339093110498,-0.39342932697036304,-0.44589356863177393,4.28551334573035,4.285513345730344,148,144,4,56.75675675675676,58.333333333333336,2.0582754924731,1.9987541784135034,4.381925511440947,4.39662946318046
BNB,53.82955416305351,54.23915399689763,-0.40959983384411913,-0.7551737143015679,3.711641109752129,3.711641109752123,199,189,10,51.256281407035175,53.43915343915344,2.128127588918346,2.0463579530302263,3.8350724487250303,3.8592162319169043
DOT,44.617440251873326,51.51368839954416,-6.896248147670832,-13.387214858666297,5.267996687099863,5.267996687099856,129,128,3,53.48837209302325,55.46875,1.8317872308252896,1.8661667261286417,2.972124969095633,3.281288301201398
LINK,56.14324335702209,56.683425523363105,-0.5401821663410189,-0.9529808076231614,3.107280082803114,3.1072800828031264,135,129,6,55.55555555555556,58.139534883720934,1.7601896026303177,1.6816274421337372,3.1032924942589744,3.127393985807149
SOL,72.17365609014035,72.92178660595505,-0.7481305158146938,-1.0259355271386055,6.611886565428657,6.611886565428633,206,195,11,49.51456310679612,52.307692307692314,2.0528487416697714,1.929718698005505,3.59447328525398,3.6239162497469275
TAO,104.0383100723448,102.55532407031254,1.4829860020322627,1.4460351185819653,6.10525921808944,6.105259218089414,152,137,15,51.31578947368421,56.20437956204379,2.383783222931696,2.0151777817527057,4.142996591798199,4.087901519913781
UNI,27.731769831967995,28.099364396882432,-0.3675945649144374,-1.3081953019379375,5.664720895952657,5.66472089595271,123,116,7,46.34146341463415,49.137931034482754,1.8708352340781849,1.7481210462138295,1.832085569042614,1.853342927908932
XRP,54.669198863640375,54.34247380334269,0.326725060297683,0.6012333216188359,2.9849546305355332,2.9849546305355372,158,118,40,44.303797468354425,55.932203389830505,2.9609126473293155,2.1688437092050457,3.4425003544006465,3.4208899938170396
